time,_Eihop,_P0,hops,d,_R,_Nb
10384902506,0.28,0.14,1,135,250,90
10403368424,0.169,0.36,1,135,250,90
10403790301,0.133,0.32,1,135,250,90
10430176954,0.140,0.32,1,135,250,90
10452676991,0.115,0.28,1,135,250,90
10476004900,0.07,0.07,1,135,250,90
10487395664,0.14,0.10,1,135,250,90
10507955327,0.28,0.14,1,135,250,90
10581149709,0.140,0.32,1,135,250,90
10591142828,0.43,0.18,1,135,250,90
10621009086,0.108,0.28,1,135,250,90
10626142770,0.25,0.14,1,135,250,90
10640305910,0.14,0.10,1,135,250,90
10658790879,0.07,0.07,1,135,250,90
10665730510,0.43,0.18,1,135,250,90
10672949406,0.64,0.21,1,135,250,90
10707949445,0.61,0.21,1,135,250,90
10717668176,0.144,0.32,1,135,250,90
10731840052,0.136,0.32,1,135,250,90
10742111578,0.194,0.39,1,135,250,90
10776692618,0.111,0.28,1,135,250,90
10780177545,0.144,0.32,1,135,250,90
10780315333,0.104,0.28,1,135,250,90
10817111610,0.54,0.21,1,135,250,90
10823918067,0.25,0.14,1,135,250,90
10845446619,0.140,0.32,1,135,250,90
10915860830,0.100,0.28,1,135,250,90
10941134111,0.108,0.28,1,135,250,90
10968918168,0.03,0.07,1,135,250,90
10994886815,0.61,0.21,1,135,250,90
11000027474,0.64,0.21,1,135,250,90
11050579622,0.43,0.18,1,135,250,90
11067252951,0.158,0.36,1,135,250,90
11070301884,0.64,0.21,1,135,250,90
11087384043,0.57,0.21,1,135,250,90
11160574266,0.07,0.07,1,135,250,90
11170158485,0.133,0.32,1,135,250,90
11192939622,0.133,0.32,1,135,250,90
11215020612,0.82,0.25,1,135,250,90
11249605666,0.169,0.36,1,135,250,90
11264327673,0.28,0.14,1,135,250,90
11270712137,0.14,0.10,1,135,250,90
11270986578,0.162,0.36,1,135,250,90
11308770776,0.133,0.32,1,135,250,90
11309049149,0.194,0.39,1,135,250,90
11320574526,0.158,0.36,1,135,250,90
11328911946,0.64,0.21,1,135,250,90
11342098872,0.07,0.07,1,135,250,90
11356824455,0.18,0.10,1,135,250,90
11372384734,0.172,0.36,1,135,250,90
11421549743,0.133,0.32,1,135,250,90
11444877180,0.82,0.25,1,135,250,90
11466817561,0.100,0.28,1,135,250,90
11484603409,0.43,0.18,1,135,250,90
11506267852,0.14,0.10,1,135,250,90
11519317506,0.57,0.21,1,135,250,90
11532649705,0.104,0.28,1,135,250,90
11556817583,0.03,0.07,1,135,250,90
11563768491,0.169,0.36,1,135,250,90
11633895704,0.140,0.32,1,135,250,90
11650282455,0.104,0.28,1,135,250,90
11672790306,0.104,0.28,1,135,250,90
11714458632,0.79,0.25,1,135,250,90
11723759006,0.79,0.25,1,135,250,90
11726808718,0.64,0.21,1,135,250,90
11751808888,0.172,0.36,1,135,250,90
11789308689,0.14,0.10,1,135,250,90
11802368423,0.140,0.32,1,135,250,90
11825558828,0.169,0.36,1,135,250,90
11825696927,0.158,0.36,1,135,250,90
11841946481,0.79,0.25,1,135,250,90
11858340009,0.18,0.10,1,135,250,90
11920009627,0.28,0.14,1,135,250,90
11932509702,0.129,0.32,1,135,250,90
11962777507,0.14,0.10,1,135,250,90
11975551905,0.162,0.36,1,135,250,90
11990558828,0.104,0.28,1,135,250,90
12007636913,0.18,0.10,1,135,250,90
12011939735,0.111,0.28,1,135,250,90
12028752235,0.104,0.28,1,135,250,90
12041527578,0.126,0.32,1,135,250,90
12049025574,0.43,0.18,1,135,250,90
12074441256,0.64,0.21,1,135,250,90
12089864417,0.82,0.25,1,135,250,90
12094027542,0.165,0.36,1,135,250,90
12102770632,0.14,0.10,1,135,250,90
12153465520,0.43,0.18,1,135,250,90
12170964917,0.32,0.14,1,135,250,90
12173743837,0.158,0.36,1,135,250,90
12197911260,0.61,0.21,1,135,250,90
12213602753,0.14,0.10,1,135,250,90
12226665261,0.43,0.18,1,135,250,90
12239168878,0.194,0.39,1,135,250,90
12246246228,0.86,0.25,1,135,250,90
12285964979,0.28,0.14,1,135,250,90
12289442511,0.86,0.25,1,135,250,90
12315137554,0.39,0.18,1,135,250,90
12351387467,0.61,0.21,1,135,250,90
12354986578,0.190,0.39,1,135,250,90
12405402532,0.46,0.18,1,135,250,90
12424161259,0.43,0.18,1,135,250,90
12438595896,0.07,0.07,1,135,250,90
12462493460,0.100,0.28,1,135,250,90
12485127115,0.03,0.07,1,135,250,90
12493743350,0.28,0.14,1,135,250,90
12532627236,0.165,0.36,1,135,250,90
12540130011,0.25,0.14,1,135,250,90
12543598799,0.25,0.14,1,135,250,90
12544158438,0.129,0.32,1,135,250,90
12564425750,0.32,0.14,1,135,250,90
12574845951,0.39,0.18,1,135,250,90
12597900102,0.07,0.07,1,135,250,90
12624567541,0.18,0.10,1,135,250,90
12665814703,0.61,0.21,1,135,250,90
12703043159,0.07,0.07,1,135,250,90
12703455266,0.14,0.10,1,135,250,90
12706786299,0.169,0.36,1,135,250,90
12719564735,0.162,0.36,1,135,250,90
12722759049,0.104,0.28,1,135,250,90
12743175813,0.43,0.18,1,135,250,90
12749434339,0.86,0.25,1,135,250,90
12764293775,0.43,0.18,1,135,250,90
12789564641,0.43,0.18,1,135,250,90
12810676893,0.03,0.07,1,135,250,90
12846237241,0.140,0.32,1,135,250,90
12871230564,0.43,0.18,1,135,250,90
12874837099,0.25,0.14,1,135,250,90
12882480693,0.61,0.21,1,135,250,90
12910818041,0.57,0.21,1,135,250,90
12918033453,0.07,0.07,1,135,250,90
12960533436,0.108,0.28,1,135,250,90
12982754073,0.133,0.32,1,135,250,90
13009970929,0.162,0.36,1,135,250,90
13043305992,0.126,0.32,1,135,250,90
13064558748,0.14,0.10,1,135,250,90
13070808636,0.57,0.21,1,135,250,90
13095949353,0.86,0.25,1,135,250,90
13138720953,0.46,0.18,1,135,250,90
13154137068,0.140,0.32,1,135,250,90
